id,question_context,choice_1,choice_2,choice_3,choice_4,correct_label_index
1,"The partnership between the BMW Group and UNICEF focuses primarily on creating what for young people?","Employment contracts","Educational opportunities","Racing licenses","Travel vouchers",1
2,"Which specific educational field is emphasized in the BMW and UNICEF partnership?","Classical literature","STEM education","Culinary arts","Music theory",1
3,"The BMW iX3 Long Wheelbase development philosophy is described by which phrase?","Made in Europe for the World","In China, for China, and with China","Designed in America for local roads","Global innovation from Munich",1
4,"The BMW iX3 showcases innovation from which upcoming vehicle generation?","Classic Series","Neue Klasse","Modern Era","Future Tech",1
5,"Where will the BMW Art Car World Tour kick off its next leg in early twenty-twenty-six?","Berlin","London","Paris","New York",2
6,"The BMW Art Car World Tour is a celebration of the fusion between which two fields?","Speed and endurance","Art and automotive innovation","Fashion and music","History and politics",1
7,"The BMW Art Car Collection features masterpieces created by whom?","Automotive engineers","Renowned artists","Professional drivers","Celebrity actors",1
8,"Which British fashion brand collaborated with MINI on a special edition mentioned in the news?","Burberry","Paul Smith","Vivienne Westwood","Alexander McQueen",1
9,"BMW M Team WRT is gaining experience with the BMW M Hybrid Veight for which race premiere class?","IMSA GTP class","GTD class","Stock Car class","Formula One",0
10,"Which racing team is pushing for success in the GTD classes with the BMW M four GT three EVO?","Red Bull Racing","Paul Miller Racing","Andretti Team","Ferrari Scuderia",1
11,"BMW Motorrad confirmed its leading position in which market segment?","Economy segment","Premium segment","Off-road segment only","Scooter segment",1
12,"Which vehicle was honored as the safest in its class at the Euro NCAP Awards?","BMW iX three","MINI Cooper Electric","BMW M five","BMW ALPINA",1
13,"The new fully electric BMW M models feature which specific drive system?","BMW eDrive Plus","BMW M eDrive","BMW Electric Core","BMW Power Drive",1
14,"The BMW M eDrive system in high-performance models includes which technology for dynamics?","Manual Gear Shift","Integrated BMW M Dynamic Performance Control","Hydrogen Booster","Solar Range Extender",1
15,"BMW Group received an innovation award for using which natural material in vehicle parts?","Recycled oak","Flax fibres","Bamboo","Hemp",1
16,"Which award did the BMW Group win for its use of natural composites?","Green Tech Award","JEC Composites Innovation Award","Safety First Award","Design Excellence Award",1
17,"Which MINI sub-brand is specifically mentioned as continuing its success in the latest sales report?","Mini Minor","John Cooper Works","Seven Edition","Electric Blue",1
18,"BMW M GmbH has achieved a long streak of record years; how many are recorded in the latest report?","Five","Ten","Fourteen","Twenty",2
19,"Which model was identified as the best-selling model for BMW M GmbH?","BMW M two","BMW X three M fifty","BMW i four M fifty","BMW M five Touring",1
